sequence,case,engine,allocator,input_label,scope,owner_tag,observed_samples,denominator_samples,share_pct,overlap_note
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,librime_syllabifier_prism,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,librime_script_translation,0,3872,0.0,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,allocator_leaf,317,3872,8.187,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,system_compare_copy_leaf,1697,3872,43.827,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,whole_process,allocator_leaf_under_primary_owner,236,3872,6.095,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,yune_marisa_lookup,2056,2971,69.202,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,yune_sentence_model,745,2971,25.076,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,yune_abbreviation_sentence,50,2971,1.683,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,yune_sentence_word_graph,47,2971,1.582,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,yune_leading_single_syllable_prefix,441,2971,14.843,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,yune_filter_sort_hash,156,2971,5.251,inclusive stack tags may overlap; do not sum shares
5,05-yune-default-ceshiyixiachangjushuruxingnengzenyang,yune,default,37-char,RimeProcessKey,librime_dictionary_table_query,0,2971,0.0,inclusive stack tags may overlap; do not sum shares
