engine,track,schema_id,workload,input,sample_index,operation_count,process_key_calls,process_key_ns,translator_calls,translator_ns,lookup_views_visited,owned_candidates_materialized,candidates_sorted,candidate_sort_ns,userdb_merge_ns,filter_pipeline_ns,ranker_pipeline_ns,ai_merge_ns,candidates_stored,context_full_snapshot_candidates_cloned,context_page_snapshot_candidates_cloned,abi_get_context_calls,abi_get_context_ns,abi_candidates_exported,abi_free_context_calls,abi_free_context_ns
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,1,13,13,37166800,39,35817200,26660,46,45,900,5200,50100,400,1500,45,0,0,1,357500,0,1,300
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,2,13,13,44972800,39,43646400,26660,46,45,700,5000,51000,500,1700,45,0,0,1,359900,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,3,13,13,37457100,39,36069800,26660,46,45,800,6200,67300,0,2900,45,0,0,1,357100,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,4,13,13,37796100,39,36463100,26660,46,45,800,4400,52900,300,2500,45,0,0,1,367100,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,5,13,13,37873500,39,36508200,26660,46,45,700,4600,54900,100,2500,45,0,0,1,372300,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,6,13,13,38971700,39,37560400,26660,46,45,800,6100,54100,300,2600,45,0,0,1,373600,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,7,13,13,37701900,39,36277000,26660,46,45,700,5600,53100,300,2500,45,0,0,1,359600,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,8,13,13,39826500,39,38424800,26660,46,45,800,5700,53900,400,1800,45,0,0,1,367000,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,9,13,13,39655800,39,38220300,26660,46,45,900,6500,68600,300,3100,45,0,0,1,460900,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,10,13,13,39798700,39,38298500,26660,46,45,600,6000,54200,100,3000,45,0,0,1,379500,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,11,13,13,37344600,39,35980500,26660,46,45,800,5100,52700,300,2100,45,0,0,1,370000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,12,13,13,37763300,39,36441500,26660,46,45,900,5000,52600,200,2400,45,0,0,1,355800,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,13,13,13,38832900,39,37418200,26660,46,45,700,5900,52100,500,2300,45,0,0,1,534300,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,14,13,13,40964600,39,39542000,26660,46,45,1000,5400,55200,100,2000,45,0,0,1,374500,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,15,13,13,38011500,39,36325600,26660,46,45,800,5700,56200,100,4700,45,0,0,1,398000,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,16,13,13,39534700,39,38128500,26660,46,45,700,5700,51900,400,1700,45,0,0,1,363100,0,1,100
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,17,13,13,40035900,39,38584300,26660,46,45,800,6000,74300,300,2200,45,0,0,1,367900,0,1,200
yune,track-b-product,jyut6ping3_mobile,key_sequence_process_with_context,jigaajiusihaa,18,13,13,38030600,39,36712700,26660,46,45,600,5000,50800,300,1800,45,0,0,1,364000,0,1,100
