input_id,input,storage,key_index,prefix,key,candidates,model_calls,model_ns,graph_rebuild_calls,graph_rebuild_ns,incremental_reuse_hits,incremental_extend_ns,discarded_rebuild_chars,candidate_state_buckets,candidate_states_ranked,candidate_path_ns,candidate_merge_ns,index_probes,prefix_hits,prefix_misses,entry_ranges_emitted,table_entries_considered,vocabulary_index_probes,vocabulary_rows_examined,vocabulary_rows_accepted,graph_entries_inserted,graph_entry_text_bytes,code_span_rederivations,dp_states_created,dp_beam_evictions
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,18,zhegeyinqingqishiy,y,5,1,37500,1,8500,1,8500,0,9,113,200,26400,9,1,8,8,0,8,8,0,0,0,1,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,19,zhegeyinqingqishiyi,i,5,1,53000,1,18500,1,18500,0,10,128,2000,29700,9,1,8,9,7,9,8,0,7,21,2,27,12
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,20,zhegeyinqingqishiyin,n,5,1,57800,1,17700,1,17700,0,11,143,2200,34500,10,2,8,10,7,10,8,0,7,21,3,22,7
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,21,zhegeyinqingqishiying,g,5,1,65500,1,19100,1,19100,0,12,158,1900,41500,11,2,9,11,7,11,8,0,7,21,3,23,8
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,22,zhegeyinqingqishiyingg,g,5,1,47400,1,9800,1,9800,0,12,158,200,34900,12,1,11,11,0,11,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,23,zhegeyinqingqishiyingga,a,5,1,53100,1,9000,1,9100,0,12,158,200,41300,12,1,11,11,0,11,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,24,zhegeyinqingqishiyinggai,i,5,1,73400,1,22300,1,22300,0,13,173,1900,46300,12,1,11,12,7,12,8,0,7,21,3,32,17
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,25,zhegeyinqingqishiyinggaiz,z,5,1,57600,1,9700,1,9800,0,13,173,100,45000,13,1,12,12,0,12,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,26,zhegeyinqingqishiyinggaizh,h,5,1,58200,1,9500,1,9500,0,13,173,200,45600,13,1,12,12,0,12,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,27,zhegeyinqingqishiyinggaizhi,i,5,1,78200,1,20700,1,20700,0,14,188,2100,52100,13,1,12,13,7,13,8,0,7,21,3,25,10
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,28,zhegeyinqingqishiyinggaizhic,c,5,1,63400,1,10500,1,10500,0,14,188,100,49700,14,1,13,13,0,13,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,29,zhegeyinqingqishiyinggaizhich,h,5,1,63400,1,10400,1,10500,0,14,188,200,49700,14,1,13,13,0,13,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,30,zhegeyinqingqishiyinggaizhichi,i,5,1,88900,1,24000,1,24000,0,15,203,2600,58700,14,1,13,14,7,14,8,0,7,21,3,32,17
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,31,zhegeyinqingqishiyinggaizhichic,c,5,1,66900,1,10700,1,10700,0,15,203,200,52800,15,1,14,14,0,14,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,32,zhegeyinqingqishiyinggaizhichich,h,5,1,67000,1,10800,1,10800,0,15,203,100,53100,15,1,14,14,0,14,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,33,zhegeyinqingqishiyinggaizhichicha,a,5,1,68800,1,10600,1,10600,0,15,203,100,54800,15,1,14,14,0,14,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,34,zhegeyinqingqishiyinggaizhichichao,o,5,1,89500,1,22200,1,22200,0,16,218,2100,61500,15,1,14,15,7,15,8,0,7,21,3,26,11
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,35,zhegeyinqingqishiyinggaizhichichaoc,c,5,1,71100,1,11500,1,11500,0,16,218,200,56000,16,1,15,15,0,15,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,36,zhegeyinqingqishiyinggaizhichichaoch,h,5,1,71300,1,11200,1,11200,0,16,218,100,56600,16,1,15,15,0,15,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,37,zhegeyinqingqishiyinggaizhichichaocha,a,5,1,70900,1,11200,1,11300,0,16,218,200,56200,16,1,15,15,0,15,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,38,zhegeyinqingqishiyinggaizhichichaochan,n,5,1,71200,1,11400,1,11400,0,16,218,200,55900,16,1,15,15,0,15,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,39,zhegeyinqingqishiyinggaizhichichaochang,g,5,1,107400,1,23900,1,23900,0,17,233,2100,77800,16,1,15,16,7,16,8,0,7,21,3,27,12
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,40,zhegeyinqingqishiyinggaizhichichaochangj,j,5,1,77400,1,12200,1,12200,0,17,233,100,61000,17,1,16,16,0,16,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,41,zhegeyinqingqishiyinggaizhichichaochangju,u,5,1,96900,1,26200,1,26200,0,18,248,2100,64900,17,1,16,17,7,17,8,0,7,21,3,31,16
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,42,zhegeyinqingqishiyinggaizhichichaochangjuz,z,5,1,80700,1,12800,1,12800,0,18,248,200,63900,18,1,17,17,0,17,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,43,zhegeyinqingqishiyinggaizhichichaochangjuzi,i,5,1,110700,1,26900,1,26900,0,19,263,2800,76900,18,1,17,18,7,18,8,0,7,21,3,28,13
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,44,zhegeyinqingqishiyinggaizhichichaochangjuzis,s,5,1,89900,1,14700,1,14700,0,19,263,200,70900,19,1,18,18,0,18,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,45,zhegeyinqingqishiyinggaizhichichaochangjuzish,h,5,1,88300,1,16000,1,16000,0,19,263,100,68100,19,1,18,18,0,18,8,0,0,0,3,0,0
m55_59,zhegeyinqingqishiyinggaizhichichaochangjuzishurucainengyong,owned,46,zhegeyinqingqishiyinggaizhichichaochangjuzishu,u,5,1,109300,1,29400,1,29500,0,20,278,2200,73400,19,1,18,19,7,19,8,0,7,21,3,33,18
